Camera_id,inside_out,Cent_long,Cent_lat,Dist_to_En,Dist_to_Se,TRI_count,TRI_sum,TRI_mean,TRI_median,VALUE_0,VALUE_1,Proportion
K782,inside,70.548770000000005,26.805440000000001,-588.871728599999983,2744.390385000000151,"31",42.750000000000000,1.379030000000000,1.375000000000000,"54225","187650",0.775813953000000
K783,inside,70.553060000000002,26.807420000000000,-399.993353500000012,2972.489199000000099,"34",51.625000000000000,1.518380000000000,1.375000000000000,"91575","150525",0.621747212000000
K819,inside,70.537559999999999,26.805740000000000,-576.983264699999950,2575.501530999999886,"30",38.750000000000000,1.291670000000000,1.125000000000000,"31050","210825",0.871627907000000
K820,inside,70.541950000000000,26.807549999999999,-757.984613599999989,2460.555001000000175,"32",42.750000000000000,1.335940000000000,1.187500000000000,"20700","221400",0.914498141000000
K821,inside,70.546589999999995,26.809590000000000,-977.988667299999975,2423.598222999999962,"34",43.375000000000000,1.275740000000000,1.125000000000000,"82575","159525",0.658921933000000
K822,inside,70.550839999999994,26.811350000000001,-817.059295199999951,2492.995019999999840,"34",44.500000000000000,1.308820000000000,1.312500000000000,"166275","75600",0.312558140000000
K826,inside,70.568849999999998,26.818780000000000,-472.897725700000024,3470.509528000000046,"32",85.125000000000000,2.660160000000000,2.125000000000000,"182250","59850",0.247211896000000
K827,inside,70.573229999999995,26.820620000000002,-260.366824500000007,3809.346062000000074,"34",46.250000000000000,1.360290000000000,1.250000000000000,"183600","58275",0.240930233000000
K855,inside,70.526449999999997,26.806069999999998,-286.755233999999973,2278.192828000000191,"33",38.875000000000000,1.178030000000000,1.125000000000000,"19125","218700",0.919583728000000
K856,inside,70.531009999999995,26.807900000000000,-577.373183199999971,2189.766541999999845,"33",60.625000000000000,1.837120000000000,1.875000000000000,"38925","202950",0.839069767000000
K857,inside,70.535349999999994,26.809760000000001,-870.749526999999944,2118.157733000000007,"32",61.625000000000000,1.925780000000000,1.937500000000000,"80100","162225",0.669452182000000
K858,inside,70.539869999999993,26.811789999999998,-1234.861323000000084,1952.935539999999946,"32",59.250000000000000,1.851560000000000,1.875000000000000,"58725","183600",0.757660167000000
K859,inside,70.544399999999996,26.813440000000000,-1031.524537000000009,1944.789991000000100,"33",53.250000000000000,1.613640000000000,1.750000000000000,"55125","186975",0.772304833000000
K860,inside,70.548810000000003,26.815190000000001,-682.057968500000015,2037.656815000000051,"34",61.500000000000000,1.808820000000000,1.750000000000000,"148500","93600",0.386617100000000
K861,inside,70.553319999999999,26.817290000000000,-397.154068699999982,2215.725014000000101,"34",62.500000000000000,1.838240000000000,1.875000000000000,"189450","53100",0.218923933000000
K893,inside,70.524320000000003,26.809909999999999,-283.342677100000003,1834.868161000000100,"32",39.375000000000000,1.230470000000000,1.312500000000000,"14400","224550",0.939736347000000
K894,inside,70.528809999999993,26.812030000000000,-651.923424100000034,1685.521657000000005,"32",60.125000000000000,1.878910000000000,1.875000000000000,"14850","227250",0.938661710000000
K896,inside,70.537649999999999,26.815590000000000,-1146.796000000000049,1494.703367000000071,"33",65.000000000000000,1.969700000000000,2.000000000000000,"139950","102150",0.421933086000000
K897,inside,70.542370000000005,26.817419999999998,-744.869261700000038,1461.128341000000091,"32",65.000000000000000,2.031250000000000,1.937500000000000,"69300","172575",0.713488372000000
K898,inside,70.546830000000000,26.819520000000001,-324.984977200000003,1558.019387999999935,"34",60.500000000000000,1.779410000000000,1.750000000000000,"93600","148500",0.613382900000000
K902,inside,70.564629999999994,26.826889999999999,-13.492671930000000,2720.896709000000101,"27",89.375000000000000,3.310190000000000,3.250000000000000,"59400","130275",0.686832740000000
K931,inside,70.526820000000001,26.815539999999999,-358.530042400000013,1255.522107999999889,"34",74.625000000000000,2.194850000000000,2.187500000000000,"33300","208575",0.862325581000000
K932,inside,70.531340000000000,26.817810000000001,-725.574243400000000,1240.143563000000086,"34",95.375000000000000,2.805150000000000,2.750000000000000,"94050","148050",0.611524164000000
K933,inside,70.535679999999999,26.819690000000001,-747.780331400000023,1019.786763999999948,"33",86.625000000000000,2.625000000000000,2.500000000000000,"50850","191475",0.790157846000000
K934,inside,70.539940000000001,26.821600000000000,-453.551996499999973,939.228403999999955,"34",117.000000000000000,3.441180000000000,3.625000000000000,"167400","74250",0.307262570000000
K939,inside,70.562569999999994,26.831050000000001,-367.764840300000003,2271.508972999999969,"32",57.375000000000000,1.792970000000000,1.687500000000000,"79650","162900",0.671614100000000
K968,inside,70.529390000000006,26.821580000000001,-373.282336699999973,802.888408499999969,"34",86.875000000000000,2.555150000000000,2.750000000000000,"152325","90000",0.371402043000000
K969,inside,70.533559999999994,26.823630000000001,-269.028556100000003,596.320817000000034,"34",128.250000000000000,3.772060000000000,4.062500000000000,"163350","78975",0.325905292000000
K974,inside,70.556030000000007,26.833030000000001,-315.196865100000025,1631.072631000000001,"33",63.750000000000000,1.931820000000000,1.625000000000000,"196650","44775",0.185461323000000
K975,inside,70.560500000000005,26.835000000000001,-689.229581199999984,1858.828813000000082,"34",75.125000000000000,2.209560000000000,2.250000000000000,"163800","78075",0.322790698000000
K976,inside,70.564920000000001,26.836919999999999,-484.316683800000021,2106.485345000000052,"30",71.125000000000000,2.370830000000000,2.312500000000000,"84825","157275",0.649628253000000
Miajlar Mia 1,inside,70.393709999999999,26.269310000000001,-134.549428000000006,188.837483200000008,"18",31.500000000000000,1.750000000000000,1.562500000000000,"80100","45450",0.362007168000000
Miajlar Mia 10,inside,70.415030000000002,26.268750000000001,-409.603514800000028,1053.083442000000105,"33",59.000000000000000,1.787880000000000,1.625000000000000,"180900","59625",0.247895229000000
Miajlar Mia 12,inside,70.410839999999993,26.276759999999999,-999.130855699999984,1485.291247000000112,"34",69.500000000000000,2.044120000000000,1.875000000000000,"153000","87750",0.364485981000000
Miajlar Mia 13,inside,70.408749999999998,26.280770000000000,-641.262316700000042,1846.230919000000085,"32",79.000000000000000,2.468750000000000,2.312500000000000,"201375","39150",0.162768943000000
Miajlar Mia 14,inside,70.406760000000006,26.284739999999999,-226.500091099999992,2251.074930000000222,"30",152.750000000000000,5.091670000000000,5.250000000000000,"182925","41175",0.183734940000000
Miajlar Mia 15,inside,70.404600000000002,26.288860000000000,-154.085199299999999,2416.924395000000004,"27",107.500000000000000,3.981480000000000,4.000000000000000,"207450","2925",0.013903743000000
Miajlar Mia 16,inside,70.402670000000001,26.292690000000000,-231.172815700000001,2447.456556999999975,"31",95.125000000000000,3.068550000000000,2.500000000000000,"220275","450",0.002038736000000
Miajlar Mia 17,inside,70.419079999999994,26.270679999999999,-162.302441200000004,1509.569725999999946,"24",38.500000000000000,1.604170000000000,1.500000000000000,"150525","39150",0.206405694000000
Miajlar Mia 18,inside,70.417379999999994,26.274640000000002,-340.296203999999989,1656.595626000000038,"32",53.000000000000000,1.656250000000000,1.437500000000000,"129150","111375",0.463049579000000
Miajlar Mia 19,inside,70.415289999999999,26.278649999999999,-561.154024400000026,1882.117788000000019,"33",63.625000000000000,1.928030000000000,1.875000000000000,"124650","116100",0.482242991000000
Miajlar Mia 2,inside,70.397509999999997,26.271100000000001,-345.907917899999973,610.304266800000050,"33",67.375000000000000,2.041670000000000,1.625000000000000,"129375","110925",0.461610487000000
Miajlar Mia 20,inside,70.413200000000003,26.282650000000000,-615.805411000000049,2178.027321999999913,"32",100.125000000000000,3.128910000000000,2.750000000000000,"199125","41850",0.173669468000000
Miajlar Mia 21,inside,70.411060000000006,26.286359999999998,-201.538206900000006,2501.821061999999984,"31",133.000000000000000,4.290320000000001,4.125000000000000,"188775","18000",0.087051143000000
Miajlar Mia 22,inside,70.406909999999996,26.294670000000000,-347.137498100000016,2770.181492000000162,"32",159.000000000000000,4.968750000000000,5.375000000000000,"237375","3375",0.014018692000000
Miajlar Mia 23,inside,70.419330000000002,26.280580000000000,-162.994771600000007,2291.402970000000096,"22",43.500000000000000,1.977270000000000,1.750000000000000,"113850","75375",0.398335315000000
Miajlar Mia 24,inside,70.417640000000006,26.284540000000000,-355.401223700000003,2561.865682000000106,"34",80.500000000000000,2.367650000000000,2.062500000000000,"180675","60075",0.249532710000000
Miajlar Mia 3,inside,70.404060000000001,26.268989999999999,-281.267988100000025,507.574271800000020,"32",69.375000000000000,2.167970000000000,2.062500000000000,"129600","106875",0.451950523000000
Miajlar Mia 4,inside,70.401960000000003,26.272990000000000,-588.905234800000017,988.234900100000004,"32",60.000000000000000,1.875000000000000,1.750000000000000,"159750","80775",0.335827877000000
Miajlar Mia 5,inside,70.400130000000004,26.276869999999999,-183.671837199999999,1199.039309999999887,"28",67.125000000000000,2.397320000000000,2.312500000000000,"133875","68850",0.339622642000000
Miajlar Mia 6,inside,70.410669999999996,26.267160000000001,-190.156706000000014,597.213037900000018,"28",57.250000000000000,2.044640000000000,1.687500000000000,"128250","75375",0.370165746000000
Miajlar Mia 7,inside,70.408490000000000,26.270869999999999,-559.240891799999986,794.730100200000038,"34",64.125000000000000,1.886030000000000,1.750000000000000,"78975","161550",0.671655753000000
Miajlar Mia 8,inside,70.406400000000005,26.274870000000000,-821.098195899999951,1161.825579000000062,"33",61.875000000000000,1.875000000000000,1.625000000000000,"156600","84150",0.349532710000000
Miajlar Mia 9,inside,70.404309999999995,26.278880000000001,-395.072751600000004,1597.320801999999958,"32",78.250000000000000,2.445310000000000,2.125000000000000,"182250","58725",0.243697479000000
Miajlar_out Out 111,outside,70.433350000000004,26.286149999999999,1208.662931000000071,2598.997562000000016,"33",99.750000000000000,3.022730000000000,3.000000000000000,"236025","4500",0.018709074000000
Miajlar_out Out 112,outside,70.426810000000003,26.298259999999999,1255.134334999999965,2571.722283999999945,"34",75.500000000000000,2.220590000000000,2.000000000000000,"224775","15975",0.066355140000000
Miajlar_out Out 124,outside,70.443539999999999,26.276109999999999,2267.081952000000001,1253.572106000000076,"32",150.250000000000000,4.695310000000000,4.250000000000000,"229050","11700",0.048598131000000
Miajlar_out Out 132,outside,70.427049999999994,26.308119999999999,1949.650403000000097,1664.742479999999887,"33",116.000000000000000,3.515150000000000,3.625000000000000,"221850","18900",0.078504673000000
Miajlar_out Out 134,outside,70.422640000000001,26.315740000000002,2311.680562000000009,1620.141660000000002,"34",73.000000000000000,2.147060000000000,1.937500000000000,"238275","2700",0.011204482000000
Miajlar_out Out 137,outside,70.443790000000007,26.286010000000001,2251.240991000000122,1742.435300999999981,"34",170.000000000000000,5.000000000000000,4.750000000000000,"240300","675",0.002801120000000
Miajlar_out Out 139,outside,70.439859999999996,26.293970000000002,1968.609787999999980,2586.725480999999945,"29",89.625000000000000,3.090520000000000,3.000000000000000,"232425","8100",0.033676333000000
Miajlar_out Out 141,outside,70.435680000000005,26.301990000000000,2108.024159999999938,1886.639783999999963,"34",53.375000000000000,1.569850000000000,1.500000000000000,"238950","1800",0.007476636000000
Miajlar_out Out 29,outside,70.382339999999999,26.279340000000001,1421.965429000000086,805.664450999999985,"34",133.375000000000000,3.922790000000000,3.687500000000000,"231750","9000",0.037383178000000
Miajlar_out Out 31,outside,70.378150000000005,26.287350000000000,2032.391652000000022,1271.255198999999948,"32",154.250000000000000,4.820310000000000,4.687500000000000,"219150","21600",0.089719626000000
Miajlar_out Out 32,outside,70.376210000000000,26.291319999999999,2207.475089999999909,835.587020400000029,"34",95.500000000000000,2.808820000000000,2.500000000000000,"216675","24300",0.100840336000000
Miajlar_out Out 42,outside,70.407979999999995,26.251069999999999,1612.076238999999987,1336.167676000000029,"31",66.125000000000000,2.133060000000000,2.000000000000000,"237600","2925",0.012160898000000
Miajlar_out Out 44,outside,70.386650000000003,26.291200000000000,1167.287145999999893,1257.789132000000109,"31",113.125000000000000,3.649190000000000,3.625000000000000,"215100","26100",0.108208955000000
Miajlar_out Out 46,outside,70.382850000000005,26.299140000000001,1833.538412000000108,369.665912699999978,"33",108.750000000000000,3.295450000000000,3.125000000000000,"235125","5625",0.023364486000000
Miajlar_out Out 55,outside,70.418959999999998,26.250840000000000,1563.909118999999919,1888.736842999999908,"32",56.125000000000000,1.753910000000000,1.625000000000000,"231525","9000",0.037418148000000
Miajlar_out Out 57,outside,70.391739999999999,26.302920000000000,1339.502451000000065,1112.235130999999910,"33",63.250000000000000,1.916670000000000,1.750000000000000,"92250","148275",0.616463985000000
Miajlar_out Out 59,outside,70.387640000000005,26.310890000000001,2198.257634000000053,1083.302772000000004,"33",76.000000000000000,2.303030000000000,1.875000000000000,"224550","16425",0.068160598000000
Miajlar_out Out 66,outside,70.398529999999994,26.310700000000001,1403.238123999999971,1964.477636999999959,"34",46.750000000000000,1.375000000000000,1.375000000000000,"231525","9450",0.039215686000000
Miajlar_out Out 67,outside,70.396439999999998,26.314710000000002,1887.204318000000058,2016.002205000000004,"31",44.250000000000000,1.427420000000000,1.125000000000000,"235125","5625",0.023364486000000
Miajlar_out Out 68,outside,70.434380000000004,26.252490000000002,1949.407848000000058,2564.799362000000201,"33",160.625000000000000,4.867420000000000,4.875000000000000,"237375","3150",0.013096352000000
Miajlar_out Out 76,outside,70.432850000000002,26.266349999999999,1218.559471000000030,2428.703066999999919,"33",89.875000000000000,2.723480000000000,2.750000000000000,"238950","1575",0.006548176000000
Miajlar_out Out 78,outside,70.407430000000005,26.314480000000000,1551.447783999999956,2946.607054000000062,"29",46.000000000000000,1.586210000000000,1.500000000000000,"209475","31050",0.129092610000000
Miajlar_out Out 91,outside,70.433099999999996,26.276250000000001,1224.542369000000008,2291.989310999999816,"32",109.625000000000000,3.425780000000000,3.312500000000000,"216675","23850",0.099158092000000
Miajlar_out Out 92,outside,70.416079999999994,26.308389999999999,1269.909965000000057,2529.646146000000044,"34",91.750000000000000,2.698530000000000,2.562500000000000,"219600","21150",0.087850467000000
R143,inside,70.590890000000002,26.797200000000000,-276.897219099999973,4946.456371999999647,"39",39.750000000000000,1.019230000000000,1.000000000000000,"77625","207675",0.727917981000000
R145,inside,70.597570000000005,26.793920000000000,-409.599634799999990,4361.582135999999991,"38",55.625000000000000,1.463820000000000,1.500000000000000,"110925","174825",0.611811024000000
R149,inside,70.595410000000001,26.783290000000001,-258.320536199999992,4334.381153999999697,"38",42.375000000000000,1.115130000000000,1.000000000000000,"62775","220050",0.778042959000000
R151,inside,70.576260000000005,26.773250000000001,-268.551153499999998,3079.172117999999955,"38",60.625000000000000,1.595390000000000,1.500000000000000,"162000","119475",0.424460432000000
R153,inside,70.586590000000001,26.775960000000001,-266.772380899999973,4097.161938000000191,"36",62.875000000000000,1.746530000000000,1.625000000000000,"38925","239400",0.860145513000000
R154,inside,70.591809999999995,26.777410000000000,-527.942384299999958,4620.477904999999737,"40",50.000000000000000,1.250000000000000,1.125000000000000,"54225","232200",0.810683425000000
R155,inside,70.596919999999997,26.778659999999999,-430.329170900000008,4182.008988999999929,"40",48.250000000000000,1.206250000000000,1.187500000000000,"54900","231300",0.808176101000000
R158,inside,70.577770000000001,26.768619999999999,-405.666583300000013,3306.582025000000158,"38",46.000000000000000,1.210530000000000,1.125000000000000,"248625","37350",0.130605822000000
R159,inside,70.583079999999995,26.769919999999999,-590.976183399999968,3797.032941999999821,"40",51.125000000000000,1.278130000000000,1.250000000000000,"141525","144675",0.505503145000000
R160,inside,70.588179999999994,26.771370000000001,-622.245179499999949,4278.625681000000441,"40",71.375000000000000,1.784380000000000,1.625000000000000,"27225","258975",0.904874214000000
R161,inside,70.593260000000001,26.772670000000002,-998.254078299999946,4626.741802999999891,"38",35.625000000000000,0.937500000000000,0.875000000000000,"40950","245025",0.856805665000000
R162,inside,70.598420000000004,26.773969999999998,-835.064135400000055,4095.744412000000011,"37",50.250000000000000,1.358110000000000,1.250000000000000,"32625","253575",0.886006289000000
R163,inside,70.603570000000005,26.775279999999999,-700.995248800000013,3566.024264000000130,"39",49.625000000000000,1.272440000000000,1.125000000000000,"3150","283050",0.988993711000000
R165,inside,70.579269999999994,26.763980000000000,-506.107493200000022,3599.717447999999877,"39",45.750000000000000,1.173080000000000,1.125000000000000,"278775","7425",0.025943396000000
R166,inside,70.584379999999996,26.765370000000001,-1016.834248000000002,4033.731478000000152,"38",59.125000000000000,1.555920000000000,1.500000000000000,"127125","158625",0.555118110000000
R167,inside,70.589669999999998,26.766520000000000,-1136.433927999999923,4512.200221000000056,"37",68.125000000000000,1.841220000000000,1.875000000000000,"49050","237375",0.828750982000000
R168,inside,70.594750000000005,26.768010000000000,-1364.416244999999890,4607.713623999999982,"40",39.125000000000000,0.978130000000000,0.875000000000000,"139725","146250",0.511408340000000
R169,inside,70.599879999999999,26.769420000000000,-1084.371188999999958,4074.164158000000043,"40",52.750000000000000,1.318750000000000,1.125000000000000,"67950","218250",0.762578616000000
R170,inside,70.605090000000004,26.770740000000000,-605.656780499999968,3535.980407999999898,"39",41.125000000000000,1.054490000000000,1.000000000000000,"24075","262125",0.915880503000000
R172,inside,70.580780000000004,26.759340000000002,-429.308505200000013,3811.068479000000025,"39",45.500000000000000,1.166670000000000,1.250000000000000,"224550","61650",0.215408805000000
R173,inside,70.585920000000002,26.760700000000000,-952.790596800000003,4313.766306000000441,"39",66.250000000000000,1.698720000000000,1.750000000000000,"136800","149400",0.522012579000000
R173_1,inside,70.585920000000002,26.760700000000000,-952.790596800000003,4313.766306000000441,"39",66.250000000000000,1.698720000000000,1.750000000000000,"136800","149400",0.522012579000000
R174,inside,70.591200000000001,26.761980000000001,-1369.549492999999984,4792.444730000000163,"40",46.375000000000000,1.159380000000000,1.125000000000000,"93600","192600",0.672955975000000
R175,inside,70.596220000000002,26.763480000000001,-1383.254472000000078,4633.231023000000278,"38",53.375000000000000,1.404610000000000,1.125000000000000,"13050","272700",0.954330709000000
R177,inside,70.606639999999999,26.766089999999998,-370.120141600000011,3562.158299000000170,"40",50.125000000000000,1.253130000000000,1.250000000000000,"68400","217575",0.760818253000000
R178,inside,70.582430000000002,26.754590000000000,-239.569738400000006,3662.262419000000136,"34",44.000000000000000,1.294120000000000,1.375000000000000,"235125","23175",0.089721254000000
R179,inside,70.587429999999998,26.755929999999999,-602.146571999999992,4170.968826000000263,"38",53.000000000000000,1.394740000000000,1.250000000000000,"249300","36450",0.127559055000000
R180,inside,70.592709999999997,26.757549999999998,-908.315532100000041,4720.621508999999605,"38",46.250000000000000,1.217110000000000,1.125000000000000,"126450","159750",0.558176101000000
R181,inside,70.597830000000002,26.758730000000000,-841.632334700000001,4696.415710999999646,"39",43.125000000000000,1.105770000000000,1.125000000000000,"21150","264825",0.926042486000000
R182,inside,70.602959999999996,26.760120000000001,-662.042362400000002,4172.226034999999683,"40",42.500000000000000,1.062500000000000,1.000000000000000,"169200","117000",0.408805031000000
